selct_catg,selct_subcatg,dataset,keywrd_type,sov_type,sov_across,day,mth,yr,orgnc_covrg,advsov,cpc,conv,ctr,acos
Grocery-Cereal & Muesli,Muesli,YourBrand,Branded,SP,First_page_of_Search,31,5,2024,59.5977,23.8141,20.337667,40.6667,5.5026,17.582886
Grocery-Cereal & Muesli,Muesli,YourBrand,Generic,SP,First_page_of_Search,31,5,2024,24.5124,5.2313,34.327595,34.7328,5.0618,34.013387
Grocery-Cereal & Muesli,Muesli,YourBrand,Competition,SP,First_page_of_Search,31,5,2024,7.6844,6.0592,34.44,14.2857,0.8917,71.656165
Grocery-Cereal & Muesli,Muesli,YourBrand,All_Keywords,SP,First_page_of_Search,31,5,2024,23.7966,6.9494,29.405258,36.1502,4.4975,28.171898
Grocery-Cereal & Muesli,Muesli,Rank1Brand,Branded,SP,First_page_of_Search,31,5,2024,68.9571,53.791,14.827647,23.5294,6.4762,23.719436
Grocery-Cereal & Muesli,Muesli,Rank1Brand,Generic,SP,First_page_of_Search,31,5,2024,1.8251,17.6295,38.361481,12.6543,1.8575,116.629461
Grocery-Cereal & Muesli,Muesli,Rank1Brand,Competition,SP,First_page_of_Search,31,5,2024,0.4285,12.7371,32.765946,10.8108,0.7984,99.45773
Grocery-Cereal & Muesli,Muesli,Rank1Brand,All_Keywords,SP,First_page_of_Search,31,5,2024,2.0893,16.5825,35.811646,13.4177,1.7476,101.030546
Grocery-Cereal & Muesli,Muesli,CategoryBenchmark,Branded,SP,First_page_of_Search,31,5,2024,40.4528,30.956,14.81912,29.2629,2.1544,14.513093
Grocery-Cereal & Muesli,Muesli,CategoryBenchmark,Generic,SP,First_page_of_Search,31,5,2024,59.5472,69.044,25.7153,20.4175,2.087,39.450426
Grocery-Cereal & Muesli,Muesli,CategoryBenchmark,All_Keywords,SP,First_page_of_Search,31,5,2024,100,100,22.267814,23.2162,2.1079,28.969421
Grocery-Cereal & Muesli,Flakes,YourBrand,Branded,SP,First_page_of_Search,31,5,2024,74.0717,39.3216,27.483529,52.5424,4.5261,21.718821
Grocery-Cereal & Muesli,Flakes,YourBrand,Generic,SP,First_page_of_Search,31,5,2024,17.2062,14.6849,38.331761,36.0465,2.5251,47.445448
Grocery-Cereal & Muesli,Flakes,YourBrand,Competition,SP,First_page_of_Search,31,5,2024,5.4851,2.8338,41.87625,25,0.9816,50.942794
Grocery-Cereal & Muesli,Flakes,YourBrand,All_Keywords,SP,First_page_of_Search,31,5,2024,27.9784,17.1349,32.762145,44.4797,3.2286,31.386047
Grocery-Cereal & Muesli,Flakes,Rank1Brand,Branded,SP,First_page_of_Search,31,5,2024,97.5649,39.8025,14.388326,65.272,5.3432,8.64238
Grocery-Cereal & Muesli,Flakes,Rank1Brand,Generic,SP,First_page_of_Search,31,5,2024,10.5027,22.7985,26.206447,15.1316,1.3726,68.519363
Grocery-Cereal & Muesli,Flakes,Rank1Brand,Competition,SP,First_page_of_Search,31,5,2024,6.1737,39.9054,22.425972,13.8173,1.5152,60.89178
Grocery-Cereal & Muesli,Flakes,Rank1Brand,All_Keywords,SP,First_page_of_Search,31,5,2024,15.6008,28.9468,22.250303,25.3119,1.7032,34.218712
Grocery-Cereal & Muesli,Flakes,CategoryBenchmark,Branded,SP,First_page_of_Search,31,5,2024,47.3291,41.8924,23.236877,39.4313,2.2132,22.551049
Grocery-Cereal & Muesli,Flakes,CategoryBenchmark,Generic,SP,First_page_of_Search,31,5,2024,52.6709,58.1076,30.057264,22.7123,1.6115,56.433188
Grocery-Cereal & Muesli,Flakes,CategoryBenchmark,All_Keywords,SP,First_page_of_Search,31,5,2024,100,100,26.663957,31.0304,1.8636,34.172203
Grocery-Cereal & Muesli,Granola Cereals,YourBrand,Branded,SP,First_page_of_Search,31,5,2024,78.23,31.3276,10.138,32,7.622,11.159545
Grocery-Cereal & Muesli,Granola Cereals,YourBrand,Generic,SP,First_page_of_Search,31,5,2024,25.4842,21.0615,26.612288,26.2712,4.7352,35.750025
Grocery-Cereal & Muesli,Granola Cereals,YourBrand,Competition,SP,First_page_of_Search,31,5,2024,7.1054,10.7495,29.24,0,1.8349,0
Grocery-Cereal & Muesli,Granola Cereals,YourBrand,All_Keywords,SP,First_page_of_Search,31,5,2024,29.2454,21.0826,23.808138,26.8966,4.9505,31.227148
Grocery-Cereal & Muesli,Granola Cereals,Rank1Brand,Branded,SP,First_page_of_Search,31,5,2024,78.23,31.3276,10.138,32,7.622,11.159545
Grocery-Cereal & Muesli,Granola Cereals,Rank1Brand,Generic,SP,First_page_of_Search,31,5,2024,25.4842,21.0615,26.612288,26.2712,4.7352,35.750025
Grocery-Cereal & Muesli,Granola Cereals,Rank1Brand,Competition,SP,First_page_of_Search,31,5,2024,7.1054,10.7495,29.24,0,1.8349,0
Grocery-Cereal & Muesli,Granola Cereals,Rank1Brand,All_Keywords,SP,First_page_of_Search,31,5,2024,29.2454,21.0826,23.808138,26.8966,4.9505,31.227148
Grocery-Cereal & Muesli,Granola Cereals,CategoryBenchmark,Branded,SP,First_page_of_Search,31,5,2024,30.3418,21.3921,14.505938,20.3125,2.1534,27.622383
Grocery-Cereal & Muesli,Granola Cereals,CategoryBenchmark,Generic,SP,First_page_of_Search,31,5,2024,69.6582,78.6079,26.953238,18.4426,2.2342,54.843353
Grocery-Cereal & Muesli,Granola Cereals,CategoryBenchmark,All_Keywords,SP,First_page_of_Search,31,5,2024,100,100,24.366786,18.8312,2.2169,48.88416
